"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"336","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"337","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"338","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"339","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"340","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"341","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"342","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"343","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"344","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"345","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"346","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"347","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"348","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"349","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"350","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
"351","ARNDCQGEHILKMFPSTWYV","500","2000","9","100","1","-1","4.139e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","2000","1","-1","3e-05","10000","4","default","32","2022-07-03-2"
